aliases[]	documents[]	donor	source	organism	genetic_modifications[]	biosample_term_id	biosample_type	biosample_term_name
michael-snyder:B-HEK_eGFP_ZNF768_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF768_FRT_construct	EFO:0001182	immortalized cell line	HEK293
michael-snyder:B-HEK_eGFP_ZBTB12_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZBTB12_FRT_construct	EFO:0001183	immortalized cell line	HEK294
michael-snyder:B-HEK_eGFP_ZNF529_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF529_FRT_construct	EFO:0001184	immortalized cell line	HEK295
michael-snyder:B-HEK_eGFP_ZSCAN29_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZSCAN29_FRT_construct	EFO:0001185	immortalized cell line	HEK296
michael-snyder:B-HEK_eGFP_IKZF3_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_IKZF3_FRT_construct	EFO:0001186	immortalized cell line	HEK297
michael-snyder:B-HEK_eGFP_ZNF563_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF563_FRT_construct	EFO:0001187	immortalized cell line	HEK298
michael-snyder:B-HEK_eGFP_MZF1_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_MZF1_FRT_construct	EFO:0001188	immortalized cell line	HEK299
michael-snyder:B-HEK_eGFP_ZNF449_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF449_FRT_construct	EFO:0001189	immortalized cell line	HEK300
michael-snyder:B-HEK_eGFP_ZNF510_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF510_FRT_construct	EFO:0001190	immortalized cell line	HEK301
michael-snyder:B-HEK_eGFP_ZSCAN30_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZSCAN30_FRT_construct	EFO:0001191	immortalized cell line	HEK302
michael-snyder:B-HEK_eGFP_ZNF596_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF596_FRT_construct	EFO:0001192	immortalized cell line	HEK303
michael-snyder:B-HEK_eGFP_YY1_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_YY1_FRT_construct	EFO:0001193	immortalized cell line	HEK304
michael-snyder:B-HEK_eGFP_PRDM13_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_PRDM13_FRT_construct	EFO:0001194	immortalized cell line	HEK305
michael-snyder:B-HEK_eGFP_KLF14_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_KLF14_FRT_construct	EFO:0001195	immortalized cell line	HEK306
michael-snyder:B-HEK_eGFP_ZNF214_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF214_FRT_construct	EFO:0001196	immortalized cell line	HEK307
michael-snyder:B-HEK_eGFP_ZNF221_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF221_FRT_construct	EFO:0001197	immortalized cell line	HEK308
michael-snyder:B-HEK_eGFP_ZNF577_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF577_FRT_construct	EFO:0001198	immortalized cell line	HEK309
michael-snyder:B-HEK_eGFP_ZNF549_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF549_FRT_construct	EFO:0001199	immortalized cell line	HEK310
michael-snyder:B-HEK_eGFP_ZNF677_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF677_FRT_construct	EFO:0001200	immortalized cell line	HEK311
michael-snyder:B-HEK_eGFP_ZNF667_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF667_FRT_construct	EFO:0001201	immortalized cell line	HEK312
michael-snyder:B-HEK_eGFP_ZNF513_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF513_FRT_construct	EFO:0001202	immortalized cell line	HEK313
michael-snyder:B-HEK_eGFP_ZNF213_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF213_FRT_construct	EFO:0001203	immortalized cell line	HEK314
michael-snyder:B-HEK_eGFP_ZNF454_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF454_FRT_construct	EFO:0001204	immortalized cell line	HEK315
michael-snyder:B-HEK_eGFP_ZNF331_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF331_FRT_construct	EFO:0001205	immortalized cell line	HEK316
michael-snyder:B-HEK_eGFP_KLF10_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_KLF10_FRT_construct	EFO:0001206	immortalized cell line	HEK317
michael-snyder:B-HEK_eGFP_ZNF189_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF189_FRT_construct	EFO:0001207	immortalized cell line	HEK318
michael-snyder:B-HEK_eGFP_ZBTB6_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZBTB6_FRT_construct	EFO:0001208	immortalized cell line	HEK319
michael-snyder:B-HEK_eGFP_ZNF660_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF660_FRT_construct	EFO:0001209	immortalized cell line	HEK320
michael-snyder:B-HEK_eGFP_ZNF45_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF45_FRT_construct	EFO:0001210	immortalized cell line	HEK321
michael-snyder:B-HEK_eGFP_KLF13_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_KLF13_FRT_construct	EFO:0001211	immortalized cell line	HEK322
michael-snyder:B-HEK_eGFP_ZNF770_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF770_FRT_construct	EFO:0001212	immortalized cell line	HEK323
michael-snyder:B-HEK_eGFP_ZBTB44_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZBTB44_FRT_construct	EFO:0001213	immortalized cell line	HEK324
michael-snyder:B-HEK_eGFP_ZNF184_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF184_FRT_construct	EFO:0001214	immortalized cell line	HEK325
michael-snyder:B-HEK_eGFP_ZNF418_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF418_FRT_construct	EFO:0001215	immortalized cell line	HEK326
michael-snyder:B-HEK_eGFP_ZNF830_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF830_FRT_construct	EFO:0001216	immortalized cell line	HEK327
michael-snyder:B-HEK_eGFP_ZNF561_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF561_FRT_construct	EFO:0001217	immortalized cell line	HEK328
michael-snyder:B-HEK_eGFP_ZNF37A_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF37A_FRT_construct	EFO:0001218	immortalized cell line	HEK329
michael-snyder:B-HEK_eGFP_ZNF626_R2		encode:donor of HEK293	timothy-hughes	human	michael-snyder:eGFP_ZNF626_FRT_construct	EFO:0001219	immortalized cell line	HEK330
